homenames,home_previous,previous,racsid,service,suburbs,states,post_code,hrefdata
McGregor Gardens Aged Care 4355,Menarock Aged Care Services (Victoria) Pty Ltd,Q C W A (Oakey) Hostel,4355,Residential,Pakenham,Victoria,3810,/services/mcgregor-gardens-aged-care-4355
McKellar Centre 3409,Barwon Health,H N Mclean Village,3409,Residential,North Geelong,Victoria,3215,/services/mckellar-centre-3409
McLean Care CWA House 5115,McLean Care Ltd,Alkira Aged Care LimitedAlkira Aged CareAlkira HostelMackellar Care Services Ltd - Alkira Campus,5115,Residential,Oakey,Queensland,4401,/services/mclean-care-cwa-house-5115
McLean Care Ltd 0088,McLean Care Ltd,Mackellar CareServices Ltd - Apex CampusGunnedah Aged Care Services LimitedLundie HouseMackellar Care Services Ltd - Apex Campus,0088,Residential,Inverell,New South Wales,2360,/services/mclean-care-ltd-0088
McLean Care Mackellar Alkira Campus 0354,McLean Care Ltd,Millmerran Centenary Retirement Village IncMillmerran Centenary Retirement Village Inc.Yallambee (Millmerran) Hostel Yallambee Aged Care,0354,Residential,Gunnedah,New South Wales,2380,/services/mclean-care-mackellar-alkira-campus-0354
McLean Care Mackellar Apex Campus 2773,McLean Care Ltd,Shoreham House - Aged Care Home,2773,Residential,Gunnedah,New South Wales,2380,/services/mclean-care-mackellar-apex-campus-2773
McLean Care Yallambee 5137,McLean Care Ltd,Country Club Lodge Aged Care FacilityCountry Club Lodge,5137,Residential,Millmerran,Queensland,4357,/services/mclean-care-yallambee-5137
McLellan House Hostel 3335,Melbourne Health,mecwacare Elstoft Centremecwacare Elsoft CentreElsoft CentreVincentian Village,3335,Residential,Jacana,Victoria,3047,/services/mclellan-house-hostel-3335
McMaugh Gardens Hostel 0360,Uralla Shire Council,mecwacare John Aitchison Centre,0360,Residential,Uralla,New South Wales,2358,/services/mcmaugh-gardens-hostel-0360
McNamara Lodge 7259,Air Force Association (Western Australian Division) Incorporated,Noel Miller Centre,7259,Residential,Mandurah,Western Australia,6210,/services/mcnamara-lodge-7259
mecwacare Annie's Court 4247,MECWA,O'Mara House Aged Care Facility,4247,Residential,Shoreham,Victoria,3916,/services/mecwacare-annies-court-4247
mecwacare Calwell Manor 4524,MECWA,Park Hill Gardens Residential Aged Care FacilityPark Hill Gardens Aged Care Facility,4524,Residential,Safety Beach,Victoria,3936,/services/mecwacare-calwell-manor-4524
mecwacare Elstoft House 3350,MECWA,Mecwacare Richmond HillSir Eric Pearce HostelSir Eric Pearce House,3350,Residential,Hamlyn Heights,Victoria,3215,/services/mecwacare-elstoft-house-3350
mecwacare Simon Price Centre 3053,MECWA,Simon Price CentreVincenpaul Hostel,3053,Residential,Mont Albert North,Victoria,3129,/services/mecwacare-simon-price-centre-3053
mecwacare Trescowthick Centre 3501,MECWA,mecwacare Sir Donald Sir Donald Sir Donald and Lady Trescowthick Centre Hostel,3501,Residential,Prahran,Victoria,3181,/services/mecwacare-trescowthick-centre-3501
mecwacare Vincent House  3151,MECWA,Vincent HouseSt Anne's Hostel Westmeadows,3151,Residential,Westmeadows,Victoria,3049,/services/mecwacare-vincent-house-3151
Medea Park Hostel 8020,Medea Park Association Incorporated,Meercroft High CareMeercroft Homes for the Aged,8020,Residential,St Helens,Tasmania,7216,/services/medea-park-hostel-8020
Medea Park Nursing Home 8817,Medea Park Association Incorporated,Mekong Aged Care Cairnlea,8817,Residential,St Helens,Tasmania,7216,/services/medea-park-nursing-home-8817
Medina Manor 3597,Allity Pty Ltd,Mekong Senior Citizens Hostel,3597,Residential,Thornbury,Victoria,3071,/services/medina-manor-3597
Meercroft Care 8788,Meercroft Care Inc,Melaleuca Lodge,8788,Residential,Devonport,Tasmania,7310,/services/meercroft-care-8788
Mekong Cairnlea Vietnamese Aged Care 4561,Indochinese Elderly Refugees Association Victoria Inc,Melaleuca Home For The Aged Inc,4561,Residential,Cairnlea,Victoria,3023,/services/mekong-cairnlea-vietnamese-aged-care-4561
Mekong Vietnamese Aged Care 3179,Indochinese Elderly Refugees Association Victoria Inc,Gary Smorgon House,3179,Residential,Keilor East,Victoria,3033,/services/mekong-vietnamese-aged-care-3179
Melaleuca Aged Care 3069,Phillip Island Homes for the Aged Association Inc,Menaville Aged Care Facility,3069,Residential,Cowes,Victoria,3922,/services/melaleuca-aged-care-3069
Melaleuca Court Nursing Home 6512,Yorke and Northern Local Health Network Incorporated,EmmausHoly Cross ConventHoly Cross Hostel,6512,Residential,Minlaton,South Australia,5575,/services/melaleuca-court-nursing-home-6512
Melaleuca Home For The Aged 8820,Melaleuca Home for the Aged Inc,Mercy Health-Bethlehem Home For The AgedMercy Health-Bethlehem Home for the Aged (Nursing Home),8820,Residential,East Devonport,Tasmania,7310,/services/melaleuca-home-aged-8820
Mercy Place - Albury 2667,Mercy Aged and Community Care Ltd,Mercy Place-Fernhill,2667,Residential,Albury,New South Wales,2640,/services/mercy-place-albury-2667
Mercy Place - Fernhill 3074,Mercy Aged and Community Care Ltd,Good Shepherd Aged Services - Abbotsford Hostel,3074,Residential,Sandringham,Victoria,3191,/services/mercy-place-fernhill-3074
Mercy Place Abbotsford Hostel 3106,Mercy Aged and Community Care Ltd,Mercy Place Abbottsford Nursing HomeGood Shepherd Aged Services - Nursing Home,3106,Residential,Abbotsford,Victoria,3067,/services/mercy-place-abbotsford-hostel-3106
Mercy Place Abbotsford Nursing Home 3436,Mercy Aged and Community Care Ltd,Southern Cross Care SheppartonAve Maria Village,3436,Residential,Abbotsford,Victoria,3067,/services/mercy-place-abbotsford-nursing-home-3436
Mercy Place Ave Maria 3269,Mercy Aged and Community Care Ltd,Good Shepherd Aged Services - Maryville Hostel,3269,Residential,Shepparton,Victoria,3630,/services/mercy-place-ave-maria-3269
Mercy Place Ballarat 4577,Mercy Aged and Community Care Ltd,SCC Corben HomeCorben House Hostel,4577,Residential,Ballarat East,Victoria,3350,/services/mercy-place-ballarat-4577
Mercy Place Boronia 3051,Mercy Aged and Community Care Ltd,Southern Cross Care DandenongSouthern Cross Care (Vic) DandenongCardinal Knox Village,3051,Residential,Boronia,Victoria,3155,/services/mercy-place-boronia-3051
Mercy Place Corben 3004,Mercy Aged and Community Care Ltd,Mercy Place - East Melbourne,3004,Residential,Mentone,Victoria,3194,/services/mercy-place-corben-3004
Mercy Place Dandenong 3185,Mercy Aged and Community Care Ltd,Southern Cross Care Keon ParkSouthern Cross Care Keon Park Residential HomeSouthern Cross Keon Park Residential HomeMacleod VillageTerry Barker Nursing Home,3185,Residential,Dandenong,Victoria,3175,/services/mercy-place-dandenong-3185
Mercy Place East Melbourne 3837,Mercy Aged and Community Care Ltd,Lathlain Nursing Home,3837,Residential,East Melbourne,Victoria,3002,/services/mercy-place-east-melbourne-3837
Mercy Place Keon Park 4329,Mercy Aged and Community Care Ltd,Southern Cross Care LynbrookSouthern Cross Care Victoria - Lynbrook Residential Centre,4329,Residential,Reservoir,Victoria,3073,/services/mercy-place-keon-park-4329
Mercy Place Lathlain 7868,Mercy Aged and Community Care Ltd,Mandurah Nursing Home,7868,Residential,Carlisle,Western Australia,6101,/services/mercy-place-lathlain-7868
Mercy Place Lynbrook 3287,Mercy Aged and Community Care Ltd,Mont Clare,3287,Residential,Lynbrook,Victoria,3975,/services/mercy-place-lynbrook-3287
Mercy Place Mandurah 7896,Mercy Aged and Community Care Ltd,Mercy Place Montrose (Hostel)Mercy Place-Montrose (Hostel),7896,Residential,Mandurah,Western Australia,6210,/services/mercy-place-mandurah-7896
Mercy Place Mont Clare 7443,Mercy Aged and Community Care Ltd,Mercy Place Montrose (Nursing Home),7443,Residential,Claremont,Western Australia,6010,/services/mercy-place-mont-clare-7443
Mercy Place Montrose (Hostel) 3065 (Merged),Mercy Aged and Community Care Ltd,SCC Mordialloc HomeMordialloc Community Nursing Home,3065,Residential,Montrose,Victoria,3765,/services/mercy-place-montrose-hostel-3065-merged
Mercy Place Montrose 4477,Mercy Aged and Community Care Ltd,Mt St Joseph's Nursing HomeMount St Josephs Nursing Home,4477,Residential,Montrose,Victoria,3765,/services/mercy-place-montrose-4477
Mercy Place Mordialloc 4384,Mercy Aged and Community Care Ltd,Southern Cross Care NewportJohn H Kerr Centre,4384,Residential,Mentone,Victoria,3194,/services/mercy-place-mordialloc-4384
Mercy Place Nixon 3397,Mercy Aged and Community Care Ltd,SCC Nixon HomeNixon House Hostel,3397,Residential,Mordialloc,Victoria,3195,/services/mercy-place-nixon-3397
Mercy Place Northcliffe 3003,Mercy Aged and Community Care Ltd,SCC Northcliffe HomeNorthcliffe Lodge,3003,Residential,Edithvale,Victoria,3196,/services/mercy-place-northcliffe-3003
Mercy Place Parkville 3867,Mercy Aged and Community Care Ltd,Mercy Place Rice Village Nursing HomeMercy Place-Rice Village Nursing Home,3867,Residential,Parkville,Victoria,3052,/services/mercy-place-parkville-3867
Mercy Place Rice Village 4177,Rice Village Ltd,Southern Cross Care RosebudRosebud Residential Aged Care Services,4177,Residential,Marshall,Victoria,3216,/services/mercy-place-rice-village-4177
Mercy Place Rosebud 4413,Mercy Aged and Community Care Ltd,Mercy Place-Shepparton,4413,Residential,Rosebud,Victoria,3939,/services/mercy-place-rosebud-4413
Mercy Place Shepparton 4287,Mercy Aged and Community Care Ltd,Southern Cross Care SpringvaleSpringvale Residential Centre,4287,Residential,Shepparton,Victoria,3630,/services/mercy-place-shepparton-4287
Mercy Place Springvale 3361,Mercy Aged and Community Care Ltd,Southern Cross Care TemplestoweTemplestowe Pioneers Village,3361,Residential,Springvale South,Victoria,3172,/services/mercy-place-springvale-3361
Mercy Place Templestowe 3219,Mercy Aged and Community Care Ltd,Mercy Health and Aged Care Warrnambool,3219,Residential,Templestowe Lower,Victoria,3107,/services/mercy-place-templestowe-3219
Mercy Place Warrnambool 3878,Mercy Aged and Community Care Ltd,Bethlehem Nursing CentreBethlehem Home,3878,Residential,Warrnambool,Victoria,3280,/services/mercy-place-warrnambool-3878
Mercy Place Westcourt 5064,Mercy Aged and Community Care Ltd,Mary Potter Nursing Home,5064,Residential,Westcourt,Queensland,4870,/services/mercy-place-westcourt-5064
Mercy Place Woree 5212,Mercy Aged and Community Care Ltd,Mercy Place-Wyndham,5212,Residential,Woree,Queensland,4868,/services/mercy-place-woree-5212
Mercy Place Wyndham 4342,Mercy Aged and Community Care Ltd,Grandview Aged CareGrandview Aged Care Facility,4342,Residential,Werribee,Victoria,3030,/services/mercy-place-wyndham-4342
Mercy Place-Colac  3011,Mercy Aged and Community Care Ltd,Kelmscott River Gardens Aged Care,3011,Residential,Colac,Victoria,3250,/services/mercy-place-colac-3011
MercyCare Joondalup 7241,Mercy Human Services Limited,Orange Grove Aged Care Facility,7241,Residential,Joondalup,Western Australia,6027,/services/mercycare-joondalup-7241
MercyCare Kelmscott 7245,Mercy Human Services Limited,Tanby Hall,7245,Residential,Kelmscott,Western Australia,6111,/services/mercycare-kelmscott-7245
MercyCare Maddington 7270,Mercy Human Services Limited,Catherine McAuley Residential Care Facility,7270,Residential,Maddington,Western Australia,6109,/services/mercycare-maddington-7270
MercyCare Rockingham 7218,Mercy Human Services Limited,Meredith House Aged Care Facility,7218,Residential,Cooloongup,Western Australia,6168,/services/mercycare-rockingham-7218
Merindah Lodge Aged Care Facility 3360,South West Healthcare,Juniper TranbyTranby Aged Care Facility,3360,Residential,Camperdown,Victoria,3260,/services/merindah-lodge-aged-care-facility-3360
Merindah Lodge Nursing Home 3461,South West Healthcare,Avondrust LodgeAvondrust Aged Care Facility,3461,Residential,Camperdown,Victoria,3260,/services/merindah-lodge-nursing-home-3461
Merrimac Park Private Care 5746,Superior Care Group Pty Ltd,Margriet ManorPrincess Margriet Aged Care Facility,5746,Residential,Merrimac,Queensland,4226,/services/merrimac-park-private-care-5746
Mertome Aged Care 7355,Fresh Fields Management (NSW) Pty Ltd,Overbeek LodgeHan & Judy Overbeek Lodge,7355,Residential,Bayswater,Western Australia,6053,/services/mertome-aged-care-7355
Merton Court Hostel 0055,Merton Living Limited,Prins Willem Alexander LodgeNetherlands Retirement Village,0055,Residential,Denman,New South Wales,2328,/services/merton-court-hostel-0055
Merv Irvine Nursing Home 4469,Melbourne Health,Meath Care Como,4469,Residential,Bundoora,Victoria,3083,/services/merv-irvine-nursing-home-4469
MiCare Avondrust Lodge 3167,MiCare Ltd,Midlands Multipurpose Health CentreMidlands Multipurpose Health Centre Hostel,3167,Residential,Carrum Downs,Victoria,3201,/services/micare-avondrust-lodge-3167
MiCare Margriet Manor 3585,MiCare Ltd,Midlands Multipurpose Health Centre Nursing Home,3585,Residential,Kilsyth,Victoria,3137,/services/micare-margriet-manor-3585
MiCare Overbeek Lodge 3188,MiCare Ltd,Chesalon Care Jannali,3188,Residential,Kilsyth,Victoria,3137,/services/micare-overbeek-lodge-3188
MiCare Prins Willem Alexander Lodge 5179,MiCare Ltd,Pakenham Aged Care,5179,Residential,Birkdale,Queensland,4159,/services/micare-prins-willem-alexander-lodge-5179
Minda Nursing Home 6011,Minda Incorporated,Royal Freemasons - Monash Gardens Nursing HomeMonash Gardens Nursing Home,6011,Residential,North Brighton,South Australia,5048,/services/minda-nursing-home-6011
Miranda Aged Care Facility 2502,Jesmond Aged Care Pty Ltd,The Salvation Army Montrose Men's Home,2502,Residential,Miranda,New South Wales,2228,/services/miranda-aged-care-facility-2502
Mirrabooka Place 9235,Anglican Care,Moran at Roxburgh Park,9235,Residential,Gloucester,New South Wales,2422,/services/mirrabooka-place-9235
Mitchell House Hostel 3121,Mitchell House Inc,Sylvania,3121,Residential,Morwell,Victoria,3840,/services/mitchell-house-hostel-3121
Moline House 7082,Amana Living Incorporated,RSL Villas - Angle Park,7082,Residential,Karrinyup,Western Australia,6018,/services/moline-house-7082
Mosman Park Nursing Home 7849,Fresh Fields Aged Care Pty Ltd,Mosman Park Aged Care Facility,7849,Residential,Mosman Park,Western Australia,6012,/services/mosman-park-nursing-home-7849
Mount Clear Aged Care 3703,OC Health Ballarat Pty Ltd,Mt Clear Aged CareOC Health Ballarat,3703,Residential,Mount Clear,Victoria,3350,/services/mount-clear-aged-care-3703
Mount Esk Aged Care 8011,Southern Cross Care (Tas) Inc,Mt Esk Aged Care,8011,Residential,St Leonards,Tasmania,7250,/services/mount-esk-aged-care-8011
Mount Martha Valley 3965,Royal Freemasons Ltd,Royal Freemasons - Mount Martha ValleyElm Mount Martha Valley,3965,Residential,Safety Beach,Victoria,3936,/services/mount-martha-valley-3965
Mount View Aged Care Facility 4391,Terang and Mortlake Health Service,The Salvation Army Mountain View Aged Care Facility,4391,Residential,Terang,Victoria,3264,/services/mount-view-aged-care-facility-4391
Mountain View Aged Care Plus Centre 2911,The Salvation Army (NSW) Property Trust,Moyne Aged Care Plus CentreMoyne Eventide Home,2911,Residential,Narrabundah,Australian Capital Territory,2604,/services/mountain-view-aged-care-plus-centre-2911
Mountain View Lodge Hostel 0316,Northern Coalfields Community Care Association Ltd,Moyne Aged Care Plus CentreMoyne Eventide Nursing Home,0316,Residential,Cessnock,New South Wales,2325,/services/mountain-view-lodge-hostel-0316
Mountainview Nursing Home 2789,Mountainview Nursing Home Pty Ltd,Moyne Health Services - Belfast House,2789,Residential,Penrith,New South Wales,2750,/services/mountainview-nursing-home-2789
Moyne Aged Care Plus Centre 0033,The Salvation Army (NSW) Property Trust,Moyne Health Services - Moyneyana House,0033,Residential,Canowindra,New South Wales,2804,/services/moyne-aged-care-plus-centre-0033
Moyne Aged Care Plus Centre 2519,The Salvation Army (NSW) Property Trust,Mount Carmel HostelSouthern Cross Care Mount Carmel,2519,Residential,Canowindra,New South Wales,2804,/services/moyne-aged-care-plus-centre-2519
Moyne Health Services-Belfast House 4449,Moyne Health Services,Mt Kooyong Nursing Home,4449,Residential,Port Fairy,Victoria,3284,/services/moyne-health-services-belfast-house-4449
Moyne Health Services-Moyneyana House 3355,Moyne Health Services,"Mt Lofty Nursing Home, Toowoomba Base Hospital",3355,Residential,Port Fairy,Victoria,3284,/services/moyne-health-services-moyneyana-house-3355
Moyola Lodge Hostel 3302,Moyola Aged Care Incorporated,Mt St Vincent Nursing Home,3302,Residential,Tatura,Victoria,3616,/services/moyola-lodge-hostel-3302
Mt Carmel 6092,"Southern Cross Care (SA, NT & VIC) Inc.","""Mt View"" Homes IncMt View Homes",6092,Residential,Rosewater,South Australia,5013,/services/mt-carmel-6092
Murravale Aged Care Facility 0330,Murravale Retirement Home Ltd,Murray Mudge Settlement,0330,Residential,Murrurundi,New South Wales,2338,/services/murravale-aged-care-facility-0330
Murray Haven Hostel 0012,Murray Haven Homes Inc,Murroona Gardens Hostel,0012,Residential,Barham,New South Wales,2732,/services/murray-haven-hostel-0012
Murray House 0312,Murray House Wentworth Aged Care Ltd,Murroona Gardens Nursing Home,0312,Residential,Wentworth,New South Wales,2648,/services/murray-house-0312
Murray Mudge 6017,Uniting Communities Incorporated,Mutkin Residential Mutkin Aged CareYarrabah Aged Persons Hostel,6017,Residential,Glenelg,South Australia,5045,/services/murray-mudge-6017
Murray Vale Shalem Hostel 0246,United Protestant Association of NSW Limited,Stirling Ethnic Hostel,0246,Residential,Lavington,New South Wales,2641,/services/murray-vale-shalem-hostel-0246
Murrayvale Aged Care 2714,Domacwa Holdings Pty Ltd,Nanyima Aged Care,2714,Residential,Moama,New South Wales,2731,/services/murrayvale-aged-care-2714
Naroo Frail Aged Hostel 0273,Gwydir Shire Council,Nazareth House Nursing Home (Ballarat)Nazareth House Nursing Home,0273,Residential,Warialda,New South Wales,2402,/services/naroo-frail-aged-hostel-0273
Natimuk BNH-Nursing Home Annexe 4347,West Wimmera Health Service,Nazareth House Hostel (Camberwell)Nazareth House Hostel,4347,Residential,Natimuk,Victoria,3409,/services/natimuk-bnh-nursing-home-annexe-4347
Navorina Nursing Home 2744,The Deniliquin Nursing Home Foundation Ltd,Nazareth House Nursing Home,2744,Residential,Deniliquin,New South Wales,2710,/services/navorina-nursing-home-2744
Nazareth House Ballarat 4360,Nazareth Care,Nazareth House,4360,Residential,Ballarat,Victoria,3350,/services/nazareth-house-ballarat-4360
Nazareth House Camberwell 3025,Nazareth Care,Nazareth House Nursing Home,3025,Residential,Camberwell,Victoria,3124,/services/nazareth-house-camberwell-3025
Nazareth House Geraldton 7831,Nazareth Care,Domain Auckland Place,7831,Residential,Geraldton,Western Australia,6530,/services/nazareth-house-geraldton-7831
Nazareth House Tamworth 0162,Nazareth Care,NewDirection care at BellmereSynovum Care Bellmere,0162,Residential,Oxley Vale,New South Wales,2340,/services/nazareth-house-tamworth-0162
Nazareth House Wynnum 5219,Nazareth Care,Newmans Manor,5219,Residential,Wynnum,Queensland,4178,/services/nazareth-house-wynnum-5219
Nazareth Residential Aged Care 5096,The Nazareth Lutheran Church of South Brisbane,Ngooderi House,5096,Residential,Woolloongabba,Queensland,4102,/services/nazareth-residential-aged-care-5096
Nellie Melba Retirement Village 4582,Ryman Aged Care (Australia) Pty Ltd,Ningana Retirement Village,4582,Residential,Wheelers Hill,Victoria,3150,/services/nellie-melba-retirement-village-4582
Noble Manor Residential Aged Care 3783,Great Oaks Pty Ltd,Northridge Salem Hostel,3783,Residential,Noble Park,Victoria,3174,/services/noble-manor-residential-aged-care-3783
North Eastern Community Nursing Home 6921,North Eastern Community Nursing Home Incorporated,Pennwood GreenNorwood Nursing Home,6921,Residential,Campbelltown,South Australia,5074,/services/north-eastern-community-nursing-home-6921
North Rockhampton Nursing Centre 5446,Queensland Health,Mount Barker Residential Care Facility,5446,Residential,North Rockhampton,Queensland,4701,/services/north-rockhampton-nursing-centre-5446
Northcourt Nursing Home 2604,Christadelphian Homes Limited,Oaklea Hall Hostel,2604,Residential,North Parramatta,New South Wales,2151,/services/northcourt-nursing-home-2604
Northern Gardens Aged Care 3746,Aged Care Group Pty Ltd,Oasis Aged Care Inc,3746,Residential,Coburg North,Victoria,3058,/services/northern-gardens-aged-care-3746
Northridge Salem 5299,Lutheran Church of Australia - Queensland District,Old Timers HomesOld Timers Nursing Home,5299,Residential,Toowoomba,Queensland,4350,/services/northridge-salem-5299
Olive Grove Aged Care 6857,Willshire Pty Ltd,Marron Aged CareMarron Nursing Home,6857,Residential,Salisbury,South Australia,5108,/services/olive-grove-aged-care-6857
Olivet Aged Persons Home 3622,Christadelphian Welfare Association (Vic) Inc,Greater Hume Aged Services,3622,Residential,Ringwood,Victoria,3134,/services/olivet-aged-persons-home-3622
Omeo District Health 3393,Omeo District Health,Abbey Gardens,3393,Residential,Omeo,Victoria,3898,/services/omeo-district-health-3393
Omeo District Health 4461,Omeo District Health,Anita Villa Aged Care FacilityAnita Villa Care Facility,4461,Residential,Omeo,Victoria,3898,/services/omeo-district-health-4461
Onkaparinga Lodge 6222,"Southern Cross Care (SA, NT & VIC) Inc.",Annandale Nursing Home,6222,Residential,Huntfield Heights,South Australia,5163,/services/onkaparinga-lodge-6222
Onkaparinga Valley Residential Care 6847,Clayton Church Homes Inc,Applecross Nursing Home,6847,Residential,Woodside,South Australia,5244,/services/onkaparinga-valley-residential-care-6847
Oolong Hostel 0251,United Protestant Association of NSW Limited,Armadale Nursing Centre,0251,Residential,Howlong,New South Wales,2643,/services/oolong-hostel-0251
Opal Abbey Gardens 5346,DPG Services Pty Ltd,Domain Ashmore - The Annex,5346,Residential,Morayfield,Queensland,4506,/services/opal-abbey-gardens-5346
Opal Alfred Cove 7473,DPG Services Pty Ltd,Austral House Nursing Home,7473,Residential,Alfred Cove,Western Australia,6154,/services/opal-alfred-cove-7473
Opal Anita Villa  2279,DPG Services Pty Ltd,Domain Bairnsdale,2279,Residential,Katoomba,New South Wales,2776,/services/opal-anita-villa-2279
Opal Annandale 2516,DPG Services Pty Ltd,Bathurst Nursing Home,2516,Residential,Annandale,New South Wales,2038,/services/opal-annandale-2516
Opal Applecross 7879 (Closed),DPG Services Pty Ltd,Berkeley Village Residential Aged Care Facility,7879,Residential,Applecross,Western Australia,6153,/services/opal-applecross-7879-closed
Opal Bossley Park 2703,DPG Services Pty Ltd,Bossley Park Nursing Home,2703,Residential,Bossley Park,New South Wales,2176,/services/opal-bossley-park-2703
Opal Bunbury 7886,DPG Services Pty Ltd,Opal Bunbury GardensBunbury Gardens Nursing Centre,7886,Residential,Bunbury,Western Australia,6230,/services/opal-bunbury-7886
Opal Burpengary Gardens 5478,DPG Services Pty Ltd,Burpengary Gardens,5478,Residential,Burpengary,Queensland,4505,/services/opal-burpengary-gardens-5478
Opal by the Bay 3646,DPG Services Pty Ltd,Domain by the Bay,3646,Residential,Mount Martha,Victoria,3934,/services/opal-bay-3646
Opal Caloundra 5993,DPG Services Pty Ltd,Caloundra Nursing Home,5993,Residential,Caloundra,Queensland,4551,/services/opal-caloundra-5993
Opal Canterbury 2568,DPG Services Pty Ltd,Canterbury District Nursing Home,2568,Residential,Campsie,New South Wales,2194,/services/opal-canterbury-2568
Opal Cardinal Freeman 0008,DPG Services Pty Ltd,Cardinal Freeman Retirement Village,0008,Residential,Ashfield,New South Wales,2131,/services/opal-cardinal-freeman-0008
Opal Carine 7466,DPG Services Pty Ltd,Cherrywood Grove Residential Aged Care Facility,7466,Residential,Carine,Western Australia,6020,/services/opal-carine-7466
Opal Cherrywood Grove 2809,DPG Services Pty Ltd,Domain Coffs Harbour,2809,Residential,Orange,New South Wales,2800,/services/opal-cherrywood-grove-2809
Opal Coffs Harbour 0823,DPG Services Pty Ltd,Opal Edgewood ParkEdgewood Park Residential Aged Care Facility,0823,Residential,Coffs Harbour,New South Wales,2450,/services/opal-coffs-harbour-0823
Opal Denhams Beach 2801,DPG Services Pty Ltd,Dubbo Nursing Home,2801,Residential,Denhams Beach,New South Wales,2536,/services/opal-denhams-beach-2801
Opal Dubbo 2659,DPG Services Pty Ltd,Endeavour Residential Aged Care Facility,2659,Residential,Dubbo,New South Wales,2830,/services/opal-dubbo-2659
Opal Endeavour 2808,DPG Services Pty Ltd,Domain Florence Tower,2808,Residential,Springwood,New South Wales,2777,/services/opal-endeavour-2808
Opal Florence Tower 0836,DPG Services Pty Ltd,Geraldton Nursing Home,0836,Residential,Tweed Heads,New South Wales,2485,/services/opal-florence-tower-0836
Opal Geraldton  7892,DPG Services Pty Ltd,Glen-Lynn Nursing Home,7892,Residential,Geraldton,Western Australia,6530,/services/opal-geraldton-7892
Opal Glen Lynn 2387,DPG Services Pty Ltd,Glenmere Residential Aged Care Facility,2387,Residential,Auburn,New South Wales,2144,/services/opal-glen-lynn-2387
Opal Glenmere 2806,DPG Services Pty Ltd,Domain Gracedale,2806,Residential,Kanwal,New South Wales,2259,/services/opal-glenmere-2806
Opal Gracedale 4064,DPG Services Pty Ltd,Greenfern Place,4064,Residential,Ringwood North,Victoria,3134,/services/opal-gracedale-4064
Opal Greenfern Place 5562,DPG Services Pty Ltd,Hillside Residential Aged Care Facility,5562,Residential,Browns Plains,Queensland,4118,/services/opal-greenfern-place-5562
Opal Hobsons Bay 3536,DPG Services Pty Ltd,Hobsons Bay Nursing Centre,3536,Residential,Altona North,Victoria,3025,/services/opal-hobsons-bay-3536
Opal Kawana Waters 5792,DPG Services Pty Ltd,Killarney Vale Residential Aged Care Facility,5792,Residential,Birtinya,Queensland,4575,/services/opal-kawana-waters-5792
Opal Killarney Vale 2804,DPG Services Pty Ltd,Domain Kirra Beach,2804,Residential,Killarney Vale,New South Wales,2261,/services/opal-killarney-vale-2804
Opal Kirra Beach 5357,DPG Services Pty Ltd,Domain Lakeview,5357,Residential,Coolangatta,Queensland,4225,/services/opal-kirra-beach-5357
Opal Lakeview 3562,DPG Services Pty Ltd,Leamington Aged Care FacilityLeamington Nursing Home,3562,Residential,Lakes Entrance,Victoria,3909,/services/opal-lakeview-3562
Opal Leamington 5215,DPG Services Pty Ltd,Lourdes Nursing Home,5215,Residential,Southport,Queensland,4215,/services/opal-leamington-5215
Opal Lourdes 2750,DPG Services Pty Ltd,Opal Lourdes LodgeOpal LourdesLourdes Lodge,2750,Residential,Killara,New South Wales,2071,/services/opal-lourdes-2750
Opal Lourdes Lodge 0095 (Merged),DPG Services Pty Ltd,Domain MacQuarie Place,0095,Residential,Killara,New South Wales,2071,/services/opal-lourdes-lodge-0095-merged
Opal Macquarie Place 0895,DPG Services Pty Ltd,Maitland Nursing Home,0895,Residential,Cameron Park,New South Wales,2285,/services/opal-macquarie-place-0895
Opal Maitland 2711,DPG Services Pty Ltd,Opal FernleighFernleigh Nursing Home,2711,Residential,Rutherford,New South Wales,2320,/services/opal-maitland-2711
Opal Meadowbank Grove 2134,DPG Services Pty Ltd,Principal MeadowglenMeadowglen Nursing Centre,2134,Residential,West Ryde,New South Wales,2114,/services/opal-meadowbank-grove-2134
Opal Meadowglen 3538,DPG Services Pty Ltd,St Ives Melville,3538,Residential,Epping,Victoria,3076,/services/opal-meadowglen-3538
Opal Melville 7237,DPG Services Pty Ltd,Mudgee Nursing Home,7237,Residential,Myaree,Western Australia,6156,/services/opal-melville-7237
Opal Mudgee 2715,DPG Services Pty Ltd,St Ives Murdoch,2715,Residential,Mudgee,New South Wales,2850,/services/opal-mudgee-2715
Opal Murdoch 7261,DPG Services Pty Ltd,Murray River Nursing Home,7261,Residential,Murdoch,Western Australia,6150,/services/opal-murdoch-7261
Opal Murray River 7902,DPG Services Pty Ltd,Murwillumbah Nursing Home,7902,Residential,Mandurah,Western Australia,6210,/services/opal-murray-river-7902
Opal Murwillumbah  2716,DPG Services Pty Ltd,Nambour Nursing Home,2716,Residential,Murwillumbah,New South Wales,2484,/services/opal-murwillumbah-2716
Opal Nambour 5994,DPG Services Pty Ltd,Narrandera Nursing Home,5994,Residential,Nambour,Queensland,4560,/services/opal-nambour-5994
Opal Narrandera 2673,DPG Services Pty Ltd,Netherby Aged Care Facility,2673,Residential,Narrandera,New South Wales,2700,/services/opal-narrandera-2673
